inhib_strength,w_init_lo,w_init_hi,poisson_rate_scale,thresh_init,N_train,proxy_score,spikes_per_sample,winners_unique,winner_HHI,energy_proxy_per_sample,runtime_sec
0.575,0.25,0.7,0.009,0.36,400,0.202,5.3,28,0.055,999.0,69.65
0.725,0.65,0.8,0.012,0.32,400,0.135,192.49,85,0.018,1488.2,69.96
0.6,0.35,0.8,0.013,0.42,400,0.181,73.56,77,0.033,1470.1,70.47
0.575,0.25,0.4,0.012,0.36,400,0.14,2.71,15,0.067,1298.5,69.95
0.7,0.35,0.9,0.011,0.42,400,0.249,46.58,68,0.03,1241.3,70.04
0.675,0.25,0.4,0.014,0.3,400,0.252,10.45,28,0.075,1508.9,69.93
0.625,0.25,0.4,0.009,0.4,400,0.0,0.02,0,0.0,993.7,69.99
0.75,0.35,0.5,0.009,0.38,400,0.156,2.06,14,0.076,995.8,69.77
0.6,0.25,0.5,0.011,0.3,400,0.145,3.75,16,0.068,1198.4,69.91
0.65,0.25,0.4,0.011,0.3,400,0.336,1.13,6,0.167,1195.8,70.05
0.525,0.25,0.4,0.012,0.42,400,0.139,2.48,15,0.067,1298.2,69.89
0.6,0.25,0.8,0.012,0.3,400,0.319,37.74,62,0.039,1333.5,69.96
0.5,0.35,0.9,0.013,0.3,400,0.149,103.11,88,0.028,1499.6,69.65
0.625,0.55,0.9,0.011,0.34,400,0.134,97.98,88,0.021,1292.7,69.96
0.675,0.35,0.7,0.008,0.42,400,0.197,4.39,28,0.053,897.6,69.57
0.6,0.65,0.9,0.011,0.38,400,0.134,168.33,91,0.018,1363.0,69.61
0.525,0.25,0.8,0.008,0.42,400,0.176,4.76,22,0.073,898.0,69.75
0.575,0.65,0.8,0.011,0.4,400,0.182,191.69,76,0.021,1386.4,69.84
0.75,0.35,0.8,0.012,0.36,400,0.243,48.13,71,0.042,1343.9,69.95
0.625,0.55,0.9,0.009,0.36,400,0.192,56.11,73,0.023,1049.8,70.02
0.575,0.65,0.9,0.008,0.38,400,0.431,74.33,51,0.028,967.6,69.85
0.725,0.25,0.8,0.014,0.36,400,0.245,54.63,73,0.05,1553.0,69.49
0.675,0.35,0.5,0.01,0.3,400,0.144,6.86,21,0.059,1101.8,70.18
0.7,0.35,0.8,0.01,0.42,400,0.368,25.87,56,0.04,1120.8,70.04
0.55,0.45,0.7,0.013,0.34,400,0.15,109.64,82,0.028,1506.1,70.12
0.6,0.65,0.8,0.011,0.42,400,0.156,191.44,78,0.018,1386.1,69.66
0.55,0.35,0.9,0.012,0.4,400,0.145,77.84,81,0.03,1373.6,69.75
0.6,0.35,0.9,0.011,0.32,400,0.188,53.21,74,0.027,1247.9,69.88
0.75,0.35,0.6,0.012,0.42,400,0.372,25.75,55,0.037,1321.5,69.83
0.75,0.25,0.4,0.009,0.36,400,0.0,0.02,0,0.0,993.7,69.76
0.6,0.55,0.9,0.013,0.42,400,0.134,158.6,91,0.018,1555.1,69.71
0.75,0.55,0.9,0.011,0.32,400,0.138,91.19,88,0.024,1285.9,70.42
0.675,0.65,0.9,0.009,0.4,400,0.161,95.13,77,0.02,1088.9,69.7
0.75,0.55,0.9,0.008,0.4,400,0.394,32.74,45,0.044,926.0,69.91
0.675,0.35,0.6,0.011,0.4,400,0.261,17.99,31,0.058,1212.7,69.81
0.65,0.45,0.9,0.008,0.32,400,0.343,22.55,40,0.05,915.8,69.7
0.6,0.25,0.5,0.01,0.34,400,0.198,1.49,11,0.097,1096.4,69.92
0.55,0.35,0.9,0.009,0.4,400,0.393,27.09,54,0.042,1020.8,69.66
0.725,0.35,0.7,0.01,0.38,400,0.326,17.32,39,0.051,1112.2,69.44
0.725,0.25,0.7,0.008,0.3,400,0.167,1.53,24,0.062,894.8,69.73
0.525,0.45,0.8,0.01,0.4,400,0.248,52.02,68,0.028,1146.9,69.75
0.5,0.55,0.9,0.013,0.32,400,0.145,178.03,88,0.023,1574.5,69.68
0.55,0.25,0.4,0.012,0.38,400,0.193,2.52,13,0.093,1298.3,69.66
0.55,0.55,0.9,0.008,0.4,400,0.356,39.25,56,0.027,932.5,69.71
0.55,0.65,0.9,0.011,0.36,400,0.13,175.84,88,0.016,1370.5,70.02
0.675,0.55,0.9,0.009,0.3,400,0.129,52.54,79,0.023,1046.3,70.04
0.525,0.25,0.7,0.009,0.38,400,0.215,5.65,30,0.051,999.4,69.71
0.675,0.25,0.6,0.012,0.38,400,0.361,13.52,46,0.036,1309.3,69.75
0.675,0.25,0.5,0.012,0.32,400,0.282,6.97,21,0.128,1302.7,69.5
0.7,0.45,0.8,0.011,0.36,400,0.132,55.54,80,0.029,1250.2,70.08
0.725,0.55,0.8,0.014,0.36,400,0.142,161.53,83,0.022,1659.9,69.99
0.6,0.45,0.8,0.008,0.36,400,0.326,17.38,42,0.036,910.6,69.79
0.75,0.25,0.8,0.014,0.42,400,0.146,53.23,82,0.036,1551.6,69.68
0.5,0.25,0.7,0.013,0.42,400,0.24,40.27,69,0.034,1436.8,70.21
0.55,0.25,0.6,0.01,0.3,400,0.177,4.89,25,0.058,1099.8,69.82
0.725,0.65,0.9,0.011,0.4,400,0.131,153.11,88,0.017,1347.8,70.42
0.6,0.65,0.9,0.009,0.36,400,0.239,97.52,70,0.024,1091.2,78.23
0.65,0.25,0.9,0.013,0.32,400,0.155,63.52,87,0.038,1460.0,71.11
0.55,0.25,0.5,0.01,0.3,400,0.173,1.61,13,0.084,1096.5,70.69
0.625,0.35,0.7,0.008,0.42,400,0.211,4.59,27,0.065,897.8,70.93
0.7,0.25,0.5,0.01,0.38,400,0.253,1.35,10,0.125,1096.3,70.7
0.55,0.65,0.8,0.014,0.32,400,0.133,306.77,85,0.017,1805.2,71.05
0.7,0.35,0.6,0.012,0.42,400,0.34,27.11,58,0.036,1322.9,70.72
0.5,0.25,0.5,0.008,0.38,400,0.6,0.1,3,0.333,893.3,71.01
0.6,0.65,0.8,0.008,0.36,400,0.344,74.48,59,0.025,967.7,71.39
0.725,0.25,0.9,0.01,0.38,400,0.353,23.19,57,0.04,1118.1,71.34
0.575,0.25,0.9,0.013,0.32,400,0.164,68.88,81,0.041,1465.4,71.04
0.725,0.35,0.6,0.013,0.32,400,0.29,34.79,63,0.031,1431.3,70.5
0.525,0.65,0.9,0.012,0.3,400,0.136,211.23,87,0.018,1507.0,71.87
0.625,0.35,0.8,0.013,0.36,400,0.171,69.67,79,0.039,1466.2,72.03
0.575,0.45,0.8,0.011,0.36,400,0.123,66.03,81,0.021,1260.7,70.97
0.65,0.65,0.9,0.008,0.32,400,0.362,75.01,57,0.024,968.2,71.71
0.575,0.25,0.4,0.008,0.3,400,0.0,0.0,0,0.0,893.2,70.78
0.75,0.25,0.4,0.01,0.36,400,0.223,0.16,9,0.111,1095.1,70.62
0.725,0.55,0.9,0.01,0.34,400,0.125,68.74,81,0.022,1163.7,71.28
0.5,0.25,0.4,0.009,0.34,400,0.0,0.02,0,0.0,993.7,71.28
0.65,0.25,0.4,0.01,0.38,400,0.334,0.2,6,0.167,1095.1,70.56
0.725,0.25,0.5,0.01,0.38,400,0.275,1.32,8,0.136,1096.2,71.01
0.5,0.35,0.5,0.011,0.38,400,0.15,19.64,20,0.056,1214.3,70.96
0.55,0.25,0.5,0.01,0.4,400,0.173,1.61,13,0.084,1096.5,71.1
0.65,0.45,0.9,0.01,0.38,400,0.207,50.91,72,0.028,1145.8,70.74
0.625,0.45,0.8,0.013,0.4,400,0.156,101.17,80,0.032,1497.7,70.8
0.6,0.35,0.7,0.008,0.36,400,0.233,4.72,31,0.056,898.0,70.94
0.525,0.25,0.5,0.01,0.38,400,0.191,1.68,12,0.093,1096.6,71.77
0.6,0.35,0.7,0.011,0.4,400,0.414,30.41,53,0.046,1225.1,70.95
0.75,0.35,0.8,0.012,0.42,400,0.321,48.21,63,0.04,1344.0,70.18
0.525,0.35,0.7,0.01,0.34,400,0.381,21.75,46,0.04,1116.7,70.75
0.525,0.35,0.9,0.012,0.36,400,0.151,80.2,81,0.032,1376.0,71.21
0.725,0.25,0.4,0.011,0.36,400,0.336,1.12,6,0.167,1195.8,70.63
0.525,0.25,0.9,0.008,0.42,400,0.242,9.49,32,0.051,902.7,70.67
0.725,0.65,0.8,0.008,0.4,400,0.416,70.4,52,0.027,963.6,70.48
0.55,0.35,0.5,0.008,0.34,400,0.224,0.81,9,0.111,894.0,71.15
