poisson_rate_scale,nu_plus,nu_minus,top_k,spikes_per_sample,winners_unique,winner_HHI,energy_proxy_per_sample
0.007,0.0003,-5e-05,3,79.355,26,0.04499540863177226,870.93
0.007,0.0003,-5e-05,5,79.355,36,0.039999999999999994,870.93
0.007,0.0003,-5e-05,6,79.355,38,0.039944903581267205,870.93
0.007,0.0003,-0.0001,0,73.675,0,0.0,865.25
0.007,0.0003,-0.0001,3,73.675,24,0.04866850321395776,865.25
0.007,0.0003,-0.0001,5,73.675,33,0.04132231404958678,865.25
0.007,0.0003,-0.0001,6,73.675,37,0.038567493112947646,865.25
0.007,0.0003,-0.0003,0,66.75,0,0.0,858.325
0.007,0.0003,-0.0003,3,66.75,25,0.046831955922865015,858.325
0.007,0.0003,-0.0003,5,66.75,34,0.04198347107438016,858.325
0.007,0.0003,-0.0003,6,66.75,37,0.04269972451790632,858.325
0.007,0.0003,-0.001,0,65.245,0,0.0,856.82
0.007,0.0003,-0.001,3,65.245,23,0.051111111111111114,856.82
0.007,0.0003,-0.001,5,65.245,31,0.04959999999999998,856.82
0.007,0.0003,-0.001,6,65.245,36,0.04500000000000001,856.82
0.007,0.001,-5e-05,0,66.85,0,0.0,858.425
0.007,0.001,-5e-05,3,66.85,24,0.04866850321395776,858.425
0.007,0.001,-5e-05,5,66.85,35,0.04132231404958678,858.425
0.007,0.001,-5e-05,6,66.85,38,0.04269972451790632,858.425
0.007,0.001,-0.0001,0,68.175,0,0.0,859.75
0.007,0.001,-0.0001,3,68.175,25,0.04866850321395776,859.75
0.007,0.001,-0.0001,5,68.175,34,0.0452892561983471,859.75
0.007,0.001,-0.0001,6,68.175,37,0.04453627180899907,859.75
0.007,0.001,-0.0003,0,75.965,0,0.0,867.54
0.007,0.001,-0.0003,3,75.965,27,0.04132231404958677,867.54
0.007,0.001,-0.0003,5,75.965,36,0.03735537190082644,867.54
0.007,0.001,-0.0003,6,75.965,38,0.03581267217630853,867.54
0.007,0.001,-0.001,0,71.25,0,0.0,862.825
0.007,0.001,-0.001,3,71.25,26,0.04499540863177227,862.825
0.007,0.001,-0.001,5,71.25,38,0.038016528925619825,862.825
0.007,0.001,-0.001,6,71.25,43,0.035812672176308534,862.825
0.007,0.003,-5e-05,0,70.205,0,0.0,861.78
0.007,0.003,-5e-05,3,70.205,25,0.04666666666666667,861.78
0.007,0.003,-5e-05,5,70.205,33,0.0456,861.78
0.007,0.003,-5e-05,6,70.205,37,0.0388888888888889,861.78
0.007,0.003,-0.0001,0,69.975,0,0.0,861.55
0.007,0.003,-0.0001,3,69.975,24,0.04666666666666666,861.55
0.007,0.003,-0.0001,5,69.975,37,0.032799999999999996,861.55
0.007,0.003,-0.0001,6,69.975,42,0.029444444444444447,861.55
0.007,0.003,-0.0003,0,74.625,0,0.0,866.2
0.007,0.003,-0.0003,3,74.625,24,0.0488888888888889,866.2
0.007,0.003,-0.0003,5,74.625,37,0.03359999999999999,866.2
0.007,0.003,-0.0003,6,74.625,41,0.03055555555555556,866.2
0.007,0.003,-0.001,0,65.125,0,0.0,856.7
0.007,0.003,-0.001,3,65.125,21,0.052083333333333336,856.7
0.007,0.003,-0.001,5,65.125,26,0.0475,856.7
0.007,0.003,-0.001,6,65.125,31,0.03993055555555554,856.7
0.008,0.0001,-5e-05,0,109.86,0,0.0,998.86
0.008,0.0001,-5e-05,3,109.86,29,0.035555555555555556,998.86
0.008,0.0001,-5e-05,5,109.86,40,0.028000000000000004,998.86
0.008,0.0001,-5e-05,6,109.86,47,0.024444444444444432,998.86
0.008,0.0001,-0.0001,0,118.94,0,0.0,1007.94
0.008,0.0001,-0.0001,3,118.94,23,0.048010973936899855,1007.94
0.008,0.0001,-0.0001,5,118.94,36,0.03209876543209877,1007.94
0.008,0.0001,-0.0001,6,118.94,42,0.02743484224965706,1007.94
0.008,0.0001,-0.0003,0,121.595,0,0.0,1010.595
0.008,0.0001,-0.0003,3,121.595,30,0.041420118343195256,1010.595
0.008,0.0001,-0.0003,5,121.595,45,0.02863905325443787,1010.595
0.008,0.0001,-0.0003,6,121.595,50,0.025969756738987507,1010.595
0.008,0.0001,-0.001,0,107.785,0,0.0,996.785
0.008,0.0001,-0.001,3,107.785,31,0.04273504273504272,996.785
0.008,0.0001,-0.001,5,107.785,50,0.024852071005917166,996.785
0.008,0.0001,-0.001,6,107.785,55,0.0230111768573307,996.785
0.008,0.0003,-5e-05,0,119.855,0,0.0,1008.855
0.008,0.0003,-5e-05,3,119.855,22,0.05349794238683126,1008.855
0.008,0.0003,-5e-05,5,119.855,35,0.033086419753086425,1008.855
0.008,0.0003,-5e-05,6,119.855,41,0.028806584362139915,1008.855
0.008,0.0003,-0.0001,0,118.815,0,0.0,1007.815
0.008,0.0003,-0.0001,3,118.815,26,0.04444444444444445,1007.815
0.008,0.0003,-0.0001,5,118.815,39,0.030400000000000007,1007.815
0.008,0.0003,-0.0001,6,118.815,46,0.026111111111111106,1007.815
0.008,0.0003,-0.0003,0,116.89,0,0.0,1005.89
0.008,0.0003,-0.0003,3,116.89,33,0.03741496598639455,1005.89
0.008,0.0003,-0.0003,5,116.89,47,0.028571428571428564,1005.89
0.008,0.0003,-0.0003,6,116.89,56,0.024659863945578224,1005.89
0.008,0.0003,-0.001,0,104.59,0,0.0,993.59
0.008,0.0003,-0.001,3,104.59,34,0.03741496598639456,993.59
0.008,0.0003,-0.001,5,104.59,48,0.02693877551020408,993.59
0.008,0.0003,-0.001,6,104.59,53,0.026360544217687062,993.59
0.008,0.001,-5e-05,0,115.27,0,0.0,1004.27
0.008,0.001,-5e-05,3,115.27,32,0.03741496598639456,1004.27
0.008,0.001,-5e-05,5,115.27,50,0.02408163265306122,1004.27
0.008,0.001,-5e-05,6,115.27,57,0.023809523809523805,1004.27
0.008,0.001,-0.0001,0,114.655,0,0.0,1003.655
0.008,0.001,-0.0001,3,114.655,36,0.030612244897959176,1003.655
0.008,0.001,-0.0001,5,114.655,52,0.023265306122448974,1003.655
0.008,0.001,-0.0001,6,114.655,56,0.023809523809523805,1003.655
0.008,0.001,-0.0003,0,125.515,0,0.0,1014.515
0.008,0.001,-0.0003,3,125.515,29,0.03879026955950032,1014.515
0.008,0.001,-0.0003,5,125.515,44,0.02911242603550296,1014.515
0.008,0.001,-0.0003,6,125.515,46,0.029585798816568042,1014.515
0.008,0.001,-0.001,0,110.725,0,0.0,999.725
0.008,0.001,-0.001,3,110.725,32,0.035493827160493825,999.725
0.008,0.001,-0.001,5,110.725,46,0.027777777777777773,999.725
0.008,0.001,-0.001,6,110.725,51,0.02584876543209877,999.725
0.008,0.003,-5e-05,0,115.685,0,0.0,1004.685
0.008,0.003,-5e-05,3,115.685,27,0.04475308641975309,1004.685
0.008,0.003,-5e-05,5,115.685,41,0.03055555555555556,1004.685
0.008,0.003,-5e-05,6,115.685,47,0.02893518518518519,1004.685
0.008,0.003,-0.0001,0,118.975,0,0.0,1007.975
0.008,0.003,-0.0001,3,118.975,34,0.034013605442176874,1007.975
0.008,0.003,-0.0001,5,118.975,46,0.02612244897959183,1007.975
0.008,0.003,-0.0001,6,118.975,54,0.023526077097505656,1007.975
0.008,0.003,-0.0003,0,109.84,0,0.0,998.84
0.008,0.003,-0.0003,3,109.84,33,0.034845496383957925,998.84
0.008,0.003,-0.0003,5,109.84,46,0.026272189349112428,998.84
0.008,0.003,-0.0003,6,109.84,51,0.025641025641025637,998.84
0.008,0.003,-0.001,0,115.195,0,0.0,1004.195
0.008,0.003,-0.001,3,115.195,33,0.03401360544217687,1004.195
0.008,0.003,-0.001,5,115.195,47,0.028571428571428564,1004.195
0.008,0.003,-0.001,6,115.195,52,0.025510204081632647,1004.195
