poisson_rate_scale,nu_plus,nu_minus,top_k,spikes_per_sample,winners_unique,winner_HHI,energy_proxy_per_sample
0.006,0.0001,-0.001,5,18.885,25,0.04666666666666667,711.21
0.006,0.0001,-0.001,6,18.885,28,0.04166666666666667,711.21
0.006,0.0001,-0.001,7,18.885,32,0.03854875283446711,711.21
0.006,0.0001,-0.001,8,18.885,35,0.036458333333333336,711.21
0.065,0.0001,-0.001,5,1419.19,90,0.017949105568153188,7970.165
0.065,0.0001,-0.001,6,1419.19,91,0.017846644830771814,7970.165
0.065,0.0001,-0.001,7,1419.19,94,0.017662393755688212,7970.165
0.065,0.0001,-0.001,8,1419.19,94,0.017494960947341893,7970.165
