inhib_strength,w_init_lo,w_init_hi,nu_plus,nu_minus,poisson_rate_scale,thresh_init,tau_val,refrac_val,vt_mean,vt_jitter,w_clip_min,w_clip_max,N_train,proxy_score,spikes_per_sample,winners_unique,winner_HHI,energy_proxy_per_sample,runtime_sec
0.525,0.25,0.4,0.0001,-0.001,0.008,0.38,150.0,2.0,0.35,0.02,0.0,1.0,400,0.0,0.0,0,0.0,893.2,69.08
0.5,0.55,0.8,0.0001,-0.001,0.014,0.3,150.0,2.0,0.35,0.02,0.0,1.0,400,0.22,205.56,90,0.023,1704.0,69.19
0.7,0.55,0.8,0.0001,-0.001,0.013,0.3,150.0,2.0,0.35,0.02,0.0,1.0,400,0.255,148.97,85,0.023,1545.5,69.36
0.7,0.25,0.6,0.0001,-0.001,0.012,0.4,150.0,2.0,0.35,0.02,0.0,1.0,400,0.44,12.63,40,0.056,1308.4,69.26
0.7,0.45,0.8,0.0001,-0.001,0.013,0.3,150.0,2.0,0.35,0.02,0.0,1.0,400,0.277,94.56,85,0.037,1491.0,68.95
0.675,0.35,0.6,0.0001,-0.001,0.012,0.38,150.0,2.0,0.35,0.02,0.0,1.0,400,0.412,28.57,48,0.03,1324.3,69.13
0.55,0.35,0.5,0.0001,-0.001,0.014,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.418,64.68,61,0.023,1563.1,68.89
0.525,0.25,0.9,0.0001,-0.001,0.011,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.4,43.7,67,0.043,1238.4,68.99
0.675,0.25,0.6,0.0001,-0.001,0.014,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.452,27.85,56,0.051,1526.2,69.35
0.7,0.25,0.7,0.0001,-0.001,0.014,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.33,40.2,74,0.036,1538.6,69.02
0.675,0.65,0.9,0.0001,-0.001,0.008,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.42,67.39,61,0.023,960.6,69.47
0.525,0.55,0.8,0.0001,-0.001,0.012,0.36,150.0,2.0,0.35,0.02,0.0,1.0,400,0.234,144.37,87,0.019,1440.1,70.87
0.55,0.35,0.5,0.0001,-0.001,0.009,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.46,3.68,14,0.076,997.4,70.57
0.7,0.25,0.5,0.0001,-0.001,0.008,0.38,150.0,2.0,0.35,0.02,0.0,1.0,400,0.0,0.05,0,0.0,893.3,69.68
0.65,0.25,0.5,0.0001,-0.001,0.011,0.36,150.0,2.0,0.35,0.02,0.0,1.0,400,0.464,3.36,16,0.078,1198.0,69.49
0.5,0.35,0.6,0.0001,-0.001,0.011,0.38,150.0,2.0,0.35,0.02,0.0,1.0,400,0.429,22.01,42,0.044,1216.7,69.78
0.675,0.25,0.5,0.0001,-0.001,0.009,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.622,0.51,7,0.16,994.2,69.7
0.65,0.35,0.5,0.0001,-0.001,0.008,0.3,150.0,2.0,0.35,0.02,0.0,1.0,400,0.524,0.78,9,0.111,894.0,69.54
0.65,0.55,0.9,0.0001,-0.001,0.012,0.4,150.0,2.0,0.35,0.02,0.0,1.0,400,0.244,127.06,85,0.018,1422.8,69.69
0.575,0.35,0.5,0.0001,-0.001,0.011,0.36,150.0,2.0,0.35,0.02,0.0,1.0,400,0.426,15.73,25,0.047,1210.4,69.95
0.525,0.45,0.7,0.0001,-0.001,0.014,0.36,150.0,2.0,0.35,0.02,0.0,1.0,400,0.216,139.9,89,0.018,1638.3,70.01
0.7,0.25,0.8,0.0001,-0.001,0.009,0.36,150.0,2.0,0.35,0.02,0.0,1.0,400,0.465,9.08,32,0.072,1002.8,69.64
0.7,0.55,0.8,0.0001,-0.001,0.014,0.36,150.0,2.0,0.35,0.02,0.0,1.0,400,0.24,163.92,88,0.026,1662.3,70.01
0.675,0.25,0.4,0.0001,-0.001,0.009,0.4,150.0,2.0,0.35,0.02,0.0,1.0,400,0.0,0.02,0,0.0,993.7,69.69
0.6,0.45,0.9,0.0001,-0.001,0.014,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.191,139.74,94,0.025,1638.1,69.87
0.6,0.35,0.7,0.0001,-0.001,0.013,0.38,150.0,2.0,0.35,0.02,0.0,1.0,400,0.332,58.38,75,0.034,1454.9,69.67
0.7,0.35,0.8,0.0001,-0.001,0.012,0.36,150.0,2.0,0.35,0.02,0.0,1.0,400,0.34,51.47,73,0.033,1347.2,69.77
0.55,0.25,0.6,0.0001,-0.001,0.014,0.3,150.0,2.0,0.35,0.02,0.0,1.0,400,0.439,33.16,56,0.041,1531.6,69.96
0.525,0.65,0.9,0.0001,-0.001,0.009,0.34,150.0,2.0,0.35,0.02,0.0,1.0,400,0.32,118.88,75,0.019,1112.6,69.62
0.5,0.35,0.6,0.0001,-0.001,0.009,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.4,7.36,28,0.042,1001.1,69.78
0.6,0.25,0.5,0.0001,-0.001,0.009,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.523,0.43,10,0.111,994.2,69.39
0.55,0.35,0.9,0.0001,-0.001,0.01,0.3,150.0,2.0,0.35,0.02,0.0,1.0,400,0.369,41.22,69,0.036,1136.1,69.81
0.6,0.25,0.9,0.0001,-0.001,0.008,0.3,150.0,2.0,0.35,0.02,0.0,1.0,400,0.415,8.57,34,0.048,901.8,69.84
0.575,0.55,0.9,0.0001,-0.001,0.012,0.38,150.0,2.0,0.35,0.02,0.0,1.0,400,0.256,141.09,86,0.027,1436.8,69.64
0.65,0.45,0.7,0.0001,-0.001,0.008,0.38,150.0,2.0,0.35,0.02,0.0,1.0,400,0.407,12.5,32,0.04,905.7,69.44
0.6,0.45,0.7,0.0001,-0.001,0.01,0.4,150.0,2.0,0.35,0.02,0.0,1.0,400,0.441,35.47,49,0.041,1130.4,69.71
0.6,0.65,0.8,0.0001,-0.001,0.008,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.429,75.14,57,0.022,968.4,69.63
0.5,0.65,0.8,0.0001,-0.001,0.008,0.36,150.0,2.0,0.35,0.02,0.0,1.0,400,0.434,80.38,50,0.024,973.6,69.39
0.65,0.35,0.5,0.0001,-0.001,0.011,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.418,15.47,27,0.043,1210.1,69.89
0.65,0.35,0.9,0.0001,-0.001,0.011,0.38,150.0,2.0,0.35,0.02,0.0,1.0,400,0.309,50.12,77,0.033,1244.8,69.4
0.625,0.25,0.7,0.0001,-0.001,0.009,0.3,150.0,2.0,0.35,0.02,0.0,1.0,400,0.416,4.96,26,0.052,998.7,69.62
0.5,0.45,0.9,0.0001,-0.001,0.013,0.36,150.0,2.0,0.35,0.02,0.0,1.0,400,0.228,136.32,89,0.024,1532.8,69.34
0.55,0.25,0.5,0.0001,-0.001,0.012,0.34,150.0,2.0,0.35,0.02,0.0,1.0,400,0.475,8.27,18,0.078,1304.0,69.31
0.675,0.25,0.4,0.0001,-0.001,0.012,0.38,150.0,2.0,0.35,0.02,0.0,1.0,400,0.472,2.11,12,0.083,1297.9,69.8
0.55,0.45,0.8,0.0001,-0.001,0.011,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.387,69.51,69,0.036,1264.2,69.87
0.55,0.25,0.8,0.0001,-0.001,0.008,0.38,150.0,2.0,0.35,0.02,0.0,1.0,400,0.429,4.58,24,0.059,897.8,69.79
0.575,0.55,0.8,0.0001,-0.001,0.009,0.38,150.0,2.0,0.35,0.02,0.0,1.0,400,0.428,50.4,61,0.032,1044.1,69.51
0.575,0.25,0.9,0.0001,-0.001,0.01,0.38,150.0,2.0,0.35,0.02,0.0,1.0,400,0.435,27.73,55,0.043,1122.7,69.56
0.6,0.25,0.5,0.0001,-0.001,0.01,0.34,150.0,2.0,0.35,0.02,0.0,1.0,400,0.498,1.49,11,0.097,1096.4,69.38
0.675,0.55,0.9,0.0001,-0.001,0.014,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.186,165.68,93,0.018,1664.1,69.52
0.55,0.25,0.8,0.0001,-0.001,0.014,0.36,150.0,2.0,0.35,0.02,0.0,1.0,400,0.314,69.15,78,0.033,1567.6,69.43
0.5,0.65,0.8,0.0001,-0.001,0.014,0.3,150.0,2.0,0.35,0.02,0.0,1.0,400,0.224,325.29,88,0.017,1823.7,69.83
0.675,0.25,0.5,0.0001,-0.001,0.014,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.48,16.39,40,0.073,1514.8,69.47
0.5,0.35,0.6,0.0001,-0.001,0.011,0.4,150.0,2.0,0.35,0.02,0.0,1.0,400,0.424,22.27,43,0.041,1216.9,69.28
0.525,0.25,0.9,0.0001,-0.001,0.011,0.34,150.0,2.0,0.35,0.02,0.0,1.0,400,0.43,43.77,64,0.047,1238.4,69.38
0.575,0.35,0.7,0.0001,-0.001,0.013,0.38,150.0,2.0,0.35,0.02,0.0,1.0,400,0.31,61.66,76,0.026,1458.2,69.68
0.675,0.45,0.7,0.0001,-0.001,0.009,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.406,23.02,45,0.031,1016.7,69.93
0.6,0.55,0.9,0.0001,-0.001,0.011,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.239,105.78,86,0.02,1300.5,69.64
0.65,0.35,0.5,0.0001,-0.001,0.014,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.431,63.34,54,0.026,1561.7,69.65
0.5,0.25,0.7,0.0001,-0.001,0.009,0.34,150.0,2.0,0.35,0.02,0.0,1.0,400,0.425,6.0,30,0.056,999.7,69.66
0.675,0.35,0.5,0.0001,-0.001,0.014,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.426,61.87,56,0.024,1560.3,69.54
0.625,0.35,0.5,0.0001,-0.001,0.01,0.4,150.0,2.0,0.35,0.02,0.0,1.0,400,0.437,8.4,19,0.059,1103.3,69.79
0.7,0.25,0.7,0.0001,-0.001,0.008,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.434,1.57,22,0.065,894.8,69.82
0.6,0.45,0.8,0.0001,-0.001,0.008,0.34,150.0,2.0,0.35,0.02,0.0,1.0,400,0.405,17.31,46,0.035,910.5,69.31
0.7,0.25,0.8,0.0001,-0.001,0.012,0.36,150.0,2.0,0.35,0.02,0.0,1.0,400,0.478,34.12,59,0.06,1329.9,69.78
0.5,0.45,0.9,0.0001,-0.001,0.01,0.34,150.0,2.0,0.35,0.02,0.0,1.0,400,0.306,63.58,78,0.031,1158.5,69.3
0.575,0.65,0.9,0.0001,-0.001,0.012,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.191,205.77,93,0.02,1501.5,69.13
0.65,0.45,0.8,0.0001,-0.001,0.009,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.454,29.26,45,0.051,1023.0,83.31
0.5,0.45,0.8,0.0001,-0.001,0.01,0.34,150.0,2.0,0.35,0.02,0.0,1.0,400,0.384,52.9,66,0.028,1147.8,78.26
0.55,0.25,0.5,0.0001,-0.001,0.014,0.36,150.0,2.0,0.35,0.02,0.0,1.0,400,0.446,18.42,43,0.055,1516.8,69.49
0.55,0.45,0.7,0.0001,-0.001,0.013,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.319,109.86,76,0.022,1506.3,69.27
0.675,0.45,0.7,0.0001,-0.001,0.009,0.3,150.0,2.0,0.35,0.02,0.0,1.0,400,0.409,22.48,44,0.033,1016.2,69.93
