inhib_strength,w_init_lo,w_init_hi,nu_plus,nu_minus,poisson_rate_scale,thresh_init,tau_val,refrac_val,vt_mean,vt_jitter,w_clip_min,w_clip_max,N_train,proxy_score,spikes_per_sample,winners_unique,winner_HHI,energy_proxy_per_sample,runtime_sec
0.65,0.25,0.5,0.0001,-0.001,0.009,0.34,150.0,2.0,0.35,0.02,0.0,1.0,400,0.551,0.52,9,0.125,994.2,69.95
0.5,0.55,0.8,0.0001,-0.001,0.01,0.36,150.0,2.0,0.35,0.02,0.0,1.0,400,0.334,86.0,73,0.021,1180.9,69.92
0.675,0.25,0.4,0.0001,-0.001,0.014,0.3,150.0,2.0,0.35,0.02,0.0,1.0,400,0.472,10.45,28,0.075,1508.9,69.95
0.7,0.55,0.9,0.0001,-0.001,0.014,0.4,150.0,2.0,0.35,0.02,0.0,1.0,400,0.163,158.32,96,0.018,1656.7,69.63
0.5,0.25,0.6,0.0001,-0.001,0.01,0.34,150.0,2.0,0.35,0.02,0.0,1.0,400,0.414,5.36,24,0.051,1100.3,69.51
0.675,0.25,0.6,0.0001,-0.001,0.011,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.433,8.44,26,0.057,1203.1,69.38
0.625,0.45,0.7,0.0001,-0.001,0.014,0.34,150.0,2.0,0.35,0.02,0.0,1.0,400,0.221,126.89,88,0.018,1625.3,69.91
0.7,0.25,0.6,0.0001,-0.001,0.013,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.429,19.59,58,0.045,1416.1,70.59
0.65,0.55,0.8,0.0001,-0.001,0.01,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.294,72.04,78,0.023,1167.0,70.32
0.625,0.45,0.8,0.0001,-0.001,0.013,0.34,150.0,2.0,0.35,0.02,0.0,1.0,400,0.262,100.5,85,0.029,1497.0,70.63
